file,label,OCR keywords|tiled,best|tiled,vscode_768_2x|tiled,vscode_768_v3|tiled,vscode_768|tiled,vscode_best|tiled,vscode_tiles_2x|tiled,vscode_tiles|tiled
CHAT YES 2026-08-19 at 12.48.22 PM.png,chat,1.000000,0.617253,0.454376,0.491536,0.255087,0.398705,0.259352,0.867025
CHAT YES 2026-08-19 at 12.48.24 PM.png,chat,1.000000,0.616004,0.459018,0.499254,0.241066,0.788413,0.184456,0.567912
CHAT YES 2026-08-19 at 12.48.25 PM.png,chat,1.000000,0.616536,0.475299,0.499254,0.322163,0.513066,0.212587,0.571830
CHAT YES 2026-08-19 at 12.48.27 PM.png,chat,1.000000,0.675905,0.463041,0.499254,0.235561,0.946548,0.257170,0.561415
CHAT YES 2026-08-19 at 12.48.28 PM.png,chat,1.000000,0.622137,0.452205,0.499254,0.352487,0.478036,0.233506,0.627788
NO 2026-08-17 at 12.32.00 PM.png,neg,0.000000,0.849458,0.670973,0.812360,0.264595,0.859613,0.315727,0.648773
NO 2026-08-18 18-31-59.png,neg,1.000000,0.819063,0.458349,0.498953,0.244452,0.964471,0.175234,0.549813
NO 2026-08-19 at 12.39.58 PM.png,neg,0.000000,0.468033,0.672470,0.700880,0.251115,0.469211,0.242855,0.721347
NO 2026-08-19 at 12.40.00 PM.png,neg,0.000000,0.954845,0.606098,0.823948,0.258264,0.616012,0.242275,0.548311
NO 2026-08-19 at 12.40.10 PM.png,neg,0.000000,0.792804,0.654784,0.688590,0.236805,0.890921,0.209760,0.546899
NO 2026-08-19 at 12.40.13 PM.png,neg,0.000000,0.949777,0.676983,0.956174,0.229139,0.643035,0.214153,0.550693
NO 2026-08-19 at 12.40.16 PM.png,neg,0.000000,0.948716,0.650991,0.861935,0.229313,0.727304,0.184989,0.475826
NO 2026-08-19 at 12.40.24 PM.png,neg,0.000000,0.955330,0.672883,0.929565,0.247977,0.926928,0.256411,0.754627
NO.png,neg,0.000000,0.496214,0.469921,0.498953,0.251084,0.977214,0.199307,0.539790
YES 2026-08-17 at 12.31.49 PM.png,ghost,0.000000,0.821754,0.656325,0.792814,0.247262,0.639976,0.999144,0.795780
YES 2026-08-17 at 12.32.12 PM.png,ghost,0.000000,0.656270,0.739704,0.804608,0.234517,0.936220,0.602816,0.662663
YES 2026-08-18 18-33-17.png,ghost,0.000000,0.822738,0.453265,0.517374,0.267376,0.964940,0.998867,0.504824
YES 2026-08-19 at 12.41.55 PM.png,ghost,0.000000,0.468065,0.550585,0.822115,0.452235,0.461896,0.993120,0.642603
YES 2026-08-19 at 12.42.10 PM.png,ghost,0.000000,0.757753,0.563624,0.755466,0.341017,0.668948,0.999931,0.885521
YES 2026-08-19 at 12.42.37 PM.png,ghost,0.000000,0.966275,0.597890,0.644185,0.712873,0.599487,0.993093,0.893660
YES 2026-08-19 at 12.42.48 PM.png,ghost,0.000000,0.825986,0.602361,0.946758,0.298252,0.447093,0.996921,0.968158
YES 2026-08-19 at 12.43.00 PM.png,ghost,0.000000,0.615424,0.595662,0.753324,0.228295,0.769676,0.985520,0.793712
YES 2026-08-21 at 3.12.57 PM.png,ghost,0.000000,0.463057,0.701406,0.526370,0.235446,0.375460,0.998719,0.740019
YES 2026-08-21 at 3.13.16 PM.png,ghost,0.000000,0.722568,0.678821,0.523968,0.243289,0.386510,0.999760,0.578885
YES 2026-08-21 at 3.14.02 PM.png,ghost,0.000000,0.790595,0.595784,0.752828,0.278989,0.568576,0.957131,0.691280
YES 2026-08-21 at 3.14.50 PM.png,ghost,0.000000,0.552204,0.569060,0.932244,0.272243,0.482918,0.812532,0.791801


26 images from test_shots/VSCODE  (5 chat, 12 ghost, 9 negative)
device: mps
  best|tiled                   28.0s
  vscode_768|tiled             57.2s
  vscode_768_2x|tiled          57.9s
  vscode_768_v3|tiled          54.1s
  vscode_best|tiled            25.8s
  vscode_tiles|tiled           16.9s
  vscode_tiles_2x|tiled        26.1s

